model_name,hyperparam_hash,hyperparameters,objective_value,timestamp
Support Vector Regression,29d531a769365d8063af00f771db4852,"{""C"": 25.15697897247758, ""epsilon"": 0.02901267061709994, ""gamma"": ""auto""}",0.0007163609817626639,2025-01-03T16:39:33.053720
Support Vector Regression,38212fd70a12483d92468c3d82aa56b0,"{""C"": 59.44777614003198, ""epsilon"": 0.08799220735057235, ""gamma"": ""scale""}",0.0045372340644210425,2025-01-03T16:39:41.610021
Support Vector Regression,9ef6ab5105c5daa5f0dc045d729fbb4a,"{""C"": 64.02249207635288, ""epsilon"": 0.08198618356401383, ""gamma"": ""auto""}",0.00408624909161157,2025-01-03T16:39:51.000057
Support Vector Regression,d725ad661040d6a3c0b4df14e992bd60,"{""C"": 54.77984924898335, ""epsilon"": 0.09032031486320005, ""gamma"": ""auto""}",0.004714868359664808,2025-01-03T16:39:59.696838
Support Vector Regression,794d48d9adad9735c87f6a74ee62ad22,"{""C"": 2.521498895957295, ""epsilon"": 0.05263922856424243, ""gamma"": ""auto""}",0.002025476503922162,2025-01-03T16:40:14.765538
Support Vector Regression,342f929b404de46e091d58f7d61f93b1,"{""C"": 81.25986689286067, ""epsilon"": 0.07024395053486991, ""gamma"": ""auto""}",0.0032228752085246984,2025-01-03T16:40:26.925649
Support Vector Regression,56b953ad1b9a286e35425c088eaf85a0,"{""C"": 76.24453604666358, ""epsilon"": 0.06126142752277293, ""gamma"": ""auto""}",0.0025947780618910204,2025-01-03T16:40:40.092613
Support Vector Regression,e00072c7195116a1efab6bfec41e7007,"{""C"": 48.92718771161083, ""epsilon"": 0.05054296550984907, ""gamma"": ""auto""}",0.0018936714446878338,2025-01-03T16:40:54.808765
Support Vector Regression,0e5da86becdfc14849e4b14b836e519a,"{""C"": 84.44131225655386, ""epsilon"": 0.025620813467209222, ""gamma"": ""scale""}",0.0005708210555600959,2025-01-03T16:41:14.892746
Support Vector Regression,e3d0ffd8ecdf58e285aed787149d1821,"{""C"": 0.4459127345935163, ""epsilon"": 0.032725825450620485, ""gamma"": ""scale""}",0.0013258478679539281,2025-01-03T16:41:33.796216
Random Forest,4c86c918a4969f7f528f36d69abcadf3,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_split"": 20, ""min_samples_leaf"": 5}",0.005270894491229081,2025-01-03T16:43:33.743431
Random Forest,a15439bd5dd2d40d9bde6707f22fa19e,"{""n_estimators"": 100, ""max_depth"": 47, ""min_samples_split"": 3, ""min_samples_leaf"": 8}",0.005224334307999718,2025-01-03T16:44:10.913799
Random Forest,f80d4a31d474106056e48a7b825445c9,"{""n_estimators"": 500, ""max_depth"": 12, ""min_samples_split"": 2, ""min_samples_leaf"": 10}",0.006154222726290503,2025-01-03T16:47:11.311410
Random Forest,915793a822e0a330568e7054a90641ca,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_split"": 16, ""min_samples_leaf"": 11}",0.006470136266001961,2025-01-03T16:51:36.936720
Random Forest,8293550b01364aea4b000b9d20835b2e,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_split"": 17, ""min_samples_leaf"": 14}",0.007727738685058162,2025-01-03T16:52:10.578519
Random Forest,f0e713fd0a08f312e610c87fa65c2291,"{""n_estimators"": 1000, ""max_depth"": 21, ""min_samples_split"": 11, ""min_samples_leaf"": 12}",0.006891262251885075,2025-01-03T16:58:02.329321
Random Forest,630dd329e1f273eda9b718aeb700856f,"{""n_estimators"": 800, ""max_depth"": null, ""min_samples_split"": 3, ""min_samples_leaf"": 18}",0.00898253676052662,2025-01-03T17:02:08.001160
Random Forest,6c8c104c7754ea5b64ed224560d75dc8,"{""n_estimators"": 1000, ""max_depth"": null, ""min_samples_split"": 12, ""min_samples_leaf"": 11}",0.006472392585929109,2025-01-03T17:07:40.823723
Random Forest,1bef0b11f8c13810653abf13c4060551,"{""n_estimators"": 1000, ""max_depth"": null, ""min_samples_split"": 11, ""min_samples_leaf"": 2}",0.003532729635748393,2025-01-03T17:14:57.256144
Random Forest,9bb82be1877e6bd8ac812834b1248e98,"{""n_estimators"": 100, ""max_depth"": null, ""min_samples_split"": 16, ""min_samples_leaf"": 3}",0.0044306945544303955,2025-01-03T17:15:39.423634
Gradient Boosting,1a2da4192f03698d2a53cdd07b9b4376,"{""n_estimators"": 300, ""learning_rate"": 0.09002670524210542, ""max_depth"": 7, ""subsample"": 0.8696211205096147}",1.1265584599794109e-05,2025-01-03T17:45:46.138014
Gradient Boosting,c123e1e89cdcc7fd516f95d79ce360f8,"{""n_estimators"": 800, ""learning_rate"": 0.02483340670628341, ""max_depth"": 5, ""subsample"": 0.9864422174731109}",0.0009743107058073564,2025-01-03T18:37:26.795281
XGBoost,7c2b43f29e8f2e3c771a06c9eec1897b,"{""n_estimators"": 600, ""learning_rate"": 0.06184483771694408, ""max_depth"": 6, ""subsample"": 0.994623435865809, ""colsample_bytree"": 0.8197481735781944}",1.4930386672692796e-05,2025-01-03T19:01:20.506032
XGBoost,1fb62888033137b6ca4d56288aa911e0,"{""n_estimators"": 400, ""learning_rate"": 0.0486771740592104, ""max_depth"": 9, ""subsample"": 0.7406579952298518, ""colsample_bytree"": 0.7576577575644676}",4.3437463110142585e-07,2025-01-03T19:03:09.464643
XGBoost,20ffa96c2c8dd1c34d7b5b1e70fc4a0c,"{""n_estimators"": 800, ""learning_rate"": 0.013929495071821216, ""max_depth"": 3, ""subsample"": 0.6195248418580619, ""colsample_bytree"": 0.924320206893116}",0.008197665404958154,2025-01-03T19:03:33.999116
XGBoost,7cd941b25ee8570075d3a1652e643d06,"{""n_estimators"": 700, ""learning_rate"": 0.0191711488960348, ""max_depth"": 8, ""subsample"": 0.772415736165908, ""colsample_bytree"": 0.7529665218184369}",1.7336038935046964e-05,2025-01-03T19:06:00.153392
XGBoost,8a7672edc7272656f53ef8da23e3667c,"{""n_estimators"": 600, ""learning_rate"": 0.09527596433715273, ""max_depth"": 5, ""subsample"": 0.8783872694841534, ""colsample_bytree"": 0.8239008533342774}",1.8783232037479105e-05,2025-01-03T19:06:32.322155
XGBoost,6b8fc428d612e31eb8c5f69f85158b08,"{""n_estimators"": 600, ""learning_rate"": 0.0028812297911119254, ""max_depth"": 4, ""subsample"": 0.6513734576503478, ""colsample_bytree"": 0.6579210107514784}",0.01696583128528829,2025-01-03T19:06:58.879340
XGBoost,531b29368b65500f7d8b3563c5555a5e,"{""n_estimators"": 1000, ""learning_rate"": 0.07612708472236242, ""max_depth"": 8, ""subsample"": 0.8881050481764196, ""colsample_bytree"": 0.5748005993519043}",9.135748246571013e-08,2025-01-03T19:08:09.881017
XGBoost,7aea9921c9d949983f4151a2a33453cc,"{""n_estimators"": 600, ""learning_rate"": 0.05203205020657321, ""max_depth"": 6, ""subsample"": 0.7028583211012687, ""colsample_bytree"": 0.8444499238842401}",2.8841152827839448e-05,2025-01-03T19:09:00.035219
XGBoost,fe48eb0f554aa5b61d63e0ef563cbb6c,"{""n_estimators"": 700, ""learning_rate"": 0.09276768337370624, ""max_depth"": 6, ""subsample"": 0.8257325217001645, ""colsample_bytree"": 0.7866754675882663}",1.6816327800597568e-07,2025-01-03T19:09:54.279615
XGBoost,013dafe524494d92b72f1942733dc508,"{""n_estimators"": 200, ""learning_rate"": 0.09911426442646622, ""max_depth"": 8, ""subsample"": 0.9889039439291974, ""colsample_bytree"": 0.93232926114211}",1.4212450172818055e-06,2025-01-03T19:10:34.669130
LightGBM,1d032cf8274e338fcb68dcf5192de9cb,"{""n_estimators"": 700, ""learning_rate"": 0.030429074597964397, ""max_depth"": 3, ""num_leaves"": 140, ""subsample"": 0.6536514139627192}",0.005385818472392872,2025-01-03T19:11:48.986949
LightGBM,fb2f55f1fef458967de46245495f64c3,"{""n_estimators"": 600, ""learning_rate"": 0.006658852828444318, ""max_depth"": 17, ""num_leaves"": 143, ""subsample"": 0.6327587281777098}",0.0007040594319819005,2025-01-03T19:12:47.660156
LightGBM,78ad3c00440380e5b2d8a125485b908f,"{""n_estimators"": 500, ""learning_rate"": 0.061404154814041136, ""max_depth"": 34, ""num_leaves"": 149, ""subsample"": 0.511742592256677}",1.5768001276477968e-06,2025-01-03T19:13:26.415731
LightGBM,775ccfbcabf549e67c595de201581d7e,"{""n_estimators"": 100, ""learning_rate"": 0.04341316430427246, ""max_depth"": 9, ""num_leaves"": 96, ""subsample"": 0.779061517150582}",0.0011613832443862404,2025-01-03T19:13:33.209449
LightGBM,e781a65e3f15abd6feab121a56d6ba2c,"{""n_estimators"": 200, ""learning_rate"": 0.07366615029583011, ""max_depth"": 49, ""num_leaves"": 62, ""subsample"": 0.6282446918132738}",4.492998437147553e-05,2025-01-03T19:13:43.049114
LightGBM,79f4e78d2b0014df9ed2d56fecaad2e4,"{""n_estimators"": 100, ""learning_rate"": 0.08853419982240222, ""max_depth"": 34, ""num_leaves"": 149, ""subsample"": 0.6054254698932877}",3.5404994698895376e-05,2025-01-03T19:13:53.241071
LightGBM,3be5547ff0d9dfe7d3f2b71fa70c6c5d,"{""n_estimators"": 700, ""learning_rate"": 0.03669775095548424, ""max_depth"": 1, ""num_leaves"": 86, ""subsample"": 0.6592382497943989}",0.014242803929602577,2025-01-03T19:13:54.537983
LightGBM,a6ac3d4855307c8460807e1584ce41d6,"{""n_estimators"": 300, ""learning_rate"": 0.06942374070641774, ""max_depth"": 45, ""num_leaves"": 146, ""subsample"": 0.9931927877377726}",3.454948133151384e-06,2025-01-03T19:14:22.828643
LightGBM,36aaa685acfae10030913879e7f620d4,"{""n_estimators"": 700, ""learning_rate"": 0.09237402162040734, ""max_depth"": 50, ""num_leaves"": 53, ""subsample"": 0.951700067347039}",6.188959253869617e-10,2025-01-03T19:14:49.535764
LightGBM,d56937e8a04653734f5bc21e726c7d57,"{""n_estimators"": 200, ""learning_rate"": 0.05824221809357089, ""max_depth"": 14, ""num_leaves"": 129, ""subsample"": 0.9189777187420001}",2.118925937557783e-05,2025-01-03T19:15:04.252154
CatBoost,2d91b0f92d6ce6838453656e0ae8a016,"{""iterations"": 300, ""learning_rate"": 0.09144064762302531, ""depth"": 5, ""l2_leaf_reg"": 2, ""subsample"": 0.9423308116642775}",0.004665727676015773,2025-01-03T19:15:40.293673
CatBoost,3f108722debb81ef3538440fe7de9818,"{""iterations"": 100, ""learning_rate"": 0.035335125246766165, ""depth"": 7, ""l2_leaf_reg"": 9, ""subsample"": 0.66062263162102}",0.015234771584602274,2025-01-03T19:15:50.949768
CatBoost,fe7c20e966cae10c8561f659b7d336ba,"{""iterations"": 100, ""learning_rate"": 0.05104994445746172, ""depth"": 3, ""l2_leaf_reg"": 5, ""subsample"": 0.601120348584391}",0.01727703572221813,2025-01-03T19:15:52.397682
CatBoost,ecbaede83b37d23c37f4fe83ec67c1c0,"{""iterations"": 800, ""learning_rate"": 0.07446889606165438, ""depth"": 9, ""l2_leaf_reg"": 10, ""subsample"": 0.7220786743970466}",0.00012586276313777787,2025-01-03T19:21:12.496826
CatBoost,b1dd37fed3a379ff800cd642b2766db2,"{""iterations"": 300, ""learning_rate"": 0.0410222964143041, ""depth"": 4, ""l2_leaf_reg"": 1, ""subsample"": 0.6058597475553775}",0.011309703312565124,2025-01-03T19:21:18.449946
CatBoost,1fef11b7d48fb28dbcc7839d5c25bb2b,"{""iterations"": 1000, ""learning_rate"": 0.03704477153617674, ""depth"": 5, ""l2_leaf_reg"": 8, ""subsample"": 0.7416204112407703}",0.003979272076772561,2025-01-03T19:21:49.896113
CatBoost,5ca9ebf3b697f671afdf0be85b949135,"{""iterations"": 100, ""learning_rate"": 0.06148537763631465, ""depth"": 4, ""l2_leaf_reg"": 7, ""subsample"": 0.816257864358869}",0.015153389598240122,2025-01-03T19:21:52.227713
CatBoost,4559b4fdd6ebdf16ca84c92861b2e8f9,"{""iterations"": 300, ""learning_rate"": 0.09586117950574992, ""depth"": 7, ""l2_leaf_reg"": 10, ""subsample"": 0.9092476528500408}",0.0026833594322099967,2025-01-03T19:22:23.580341
CatBoost,91b7b1180aa78d780e4fa42065d0f4bf,"{""iterations"": 800, ""learning_rate"": 0.0579897597079704, ""depth"": 4, ""l2_leaf_reg"": 8, ""subsample"": 0.6824404988060961}",0.0045567394961179685,2025-01-03T19:22:38.653505
CatBoost,f873129eb9dcf8d1865f268e0b1ed126,"{""iterations"": 300, ""learning_rate"": 0.023368982325015476, ""depth"": 6, ""l2_leaf_reg"": 10, ""subsample"": 0.7051412973629232}",0.012327544150001613,2025-01-03T19:22:55.690020
